X1 (Obs State 1);X2 (Obs State 2);Ref;U (action control);V1 (Real State 1);V2 (Real State 2)
Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];
0.0.1.50;0.03;-1.57;0.02;
1.50;0.00;-1.48;0.01;
-1.50;0.01;-1.50;0.01;-1.51;0.02;
-1.52;0.01;-1.50;0.02;-1.55;0.03;
-1.56;0.01;-1.50;0.03;-1.57;0.02;
Ref;U;V1;V20.00;0.00;-1.50;-0.81;-1.53;0.04;
-2.63;1.88;-1.50;1.84;-2.11;0.94;
-2.86;-0.62;-1.50;0.33;-2.10;-1.00;
-0.86;-1.47;-1.50;-1.31;-0.67;-1.39;
0.22;-0.03;-1.50;-0.95;0.17;0.01;
-0.49;1.13;-1.50;0.19;-0.45;1.05;
-1.65;0.88;-1.50;0.65;-1.57;0.86;
-2.13;0.06;-1.50;0.37;-2.18;0.17;
-2.00;-0.36;-1.50;0.04;-2.13;-0.23;
-1.73;-0.32;-1.50;-0.09;-1.83;-0.28;
-1.54;-0.16;-1.50;-0.08;-1.57;-0.17;
-1.44;-0.05;-1.50;-0.06;-1.42;-0.08;
-1.40;0.01;-1.50;-0.05;-1.37;-0.02;
-1.41;0.05;-1.50;-0.02;-1.39;0.03;
-1.46;0.06;-1.50;0.02;-1.46;0.06;
-1.52;0.04;-1.50;0.04;-1.53;0.05;
-1.56;0.00;-1.50;0.04;-1.58;0.02;
-1.56;-0.03;-1.50;0.02;-1.58;-0.02;
-1.54;-0.04;-1.50;0.00;-1.56;-0.03;
-1.52;-0.03;-1.50;-0.01;-1.52;-0.02;
-1.50;-0.02;-1.50;-0.01;-1.49;-0.01;
-1.48;-0.00;-1.50;-0.01;-1.49;0.02;
-1.50;0.02;-1.50;0.01;-1.52;0.05;
-1.54;0.01;-1.50;0.03;-1.55;0.03;
-1.55;-0.01;-1.50;0.02;-1.57;0.01;
-1.55;-0.03;-1.50;0.01;-1.57;-0.00;
-1.54;-0.03;-1.50;0.01;-1.55;-0.02;
-1.52;-0.03;-1.50;-0.01;-1.54;-0.02;
-1.52;-0.01;-1.50;0.00;-1.52;-0.02;
-1.50;-0.01;-1.50;-0.00;-1.51;-0.01;
-1.51;-0.00;-1.50;0.00;-1.51;-0.01;
-1.51;0.00;-1.50;0.01;-1.52;-0.00;
-1.52;-0.00;-1.50;0.01;-1.54;0.01;
-1.53;-0.01;-1.50;0.01;-1.55;-0.00;
-1.54;-0.01;-1.50;0.02;-1.54;-0.01;
-1.52;-0.03;-1.50;-0.01;-1.52;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.50;-0.02;
-1.49;0.00;-1.50;-0.01;-1.49;0.01;
-1.49;0.01;-1.50;0.00;-1.49;0.02;
-1.50;0.01;-1.50;0.00;-1.52;0.03;
-1.53;0.01;-1.50;0.02;-1.54;0.04;
-1.54;-0.01;-1.50;0.02;-1.57;0.02;
-1.55;-0.02;-1.50;0.02;-1.57;-0.00;
-1.55;-0.03;-1.50;0.01;-1.56;-0.02;
-1.52;-0.03;-1.50;-0.01;-1.54;-0.01;
-1.51;-0.01;-1.50;-0.00;-1.53;-0.01;
-1.52;-0.00;-1.50;0.01;-1.52;-0.01;
-1.51;-0.01;-1.50;-0.00;-1.53;-0.00;
-1.52;0.00;-1.50;0.01;-1.54;0.00;
-1.54;-0.00;-1.50;0.02;-1.55;-0.01;
-1.53;-0.02;-1.50;0.01;-1.54;-0.02;
-1.51;-0.02;-1.50;-0.01;-1.52;-0.02;
-1.50;-0.01;-1.50;-0.00;-1.51;-0.01;
-1.51;0.00;-1.50;0.01;-1.51;0.00;
-1.51;-0.00;-1.50;0.00;-1.52;0.01;
-1.52;-0.00;-1.50;0.01;-1.53;0.03;
-1.53;-0.00;-1.50;0.01;-1.56;0.03;
